boringScore,gamePk,scoreHome,scoreAway,scoreDiff,totalRuns,totalHits,lateRuns,lastRunInning,leadChanges,deadAirInnings,totalLOB,pitchersUsed,moundVisits,reviews,durationScore,numInnings,attendanceScore,badTeamsPenalty,winPctHome,winPctAway,seasonProgress,reason
18,745299,3,1,2,4,10,4,8,2,11,10,6,2,1,-3,9,-3,5.35,0.5,0.363,0.84,
26,745300,0,1,1,1,8,1,10,1,14,12,8,2,0,0,10,-2,3.52,0.504,0.525,0.747,
17,745301,2,13,11,15,20,5,9,0,6,14,9,4,0,-1,9,-1,3.57,0.496,0.533,0.759,
8,745302,3,4,1,7,17,2,10,2,5,17,10,2,0,0,10,-2,3.55,0.5,0.529,0.753,
23,745303,4,5,1,9,17,0,6,1,8,16,9,5,1,7,9,-6,3.86,0.508,0.471,0.741,
18,745304,3,1,2,4,11,0,5,1,9,16,7,5,0,-5,9,-6,3.82,0.513,0.466,0.735,
14,745305,5,4,1,9,22,2,9,0,5,18,10,6,0,5,9,-5,4.38,0.491,0.355,0.667,
7,745306,1,0,1,1,9,0,5,1,10,12,5,0,0,-12,9,-5,4.09,0.491,0.409,0.679,
38,745307,4,1,3,5,10,4,8,1,8,13,7,5,1,-2,9,10,4.33,0.481,0.362,0.654,
10,745308,3,2,1,5,9,3,9,2,6,10,7,3,0,-1,9,-3,3.8,0.508,0.47,0.728,
18,745309,2,5,3,7,15,3,9,1,7,10,8,3,1,3,9,-5,4.06,0.486,0.413,0.673,
18,745310,5,0,5,5,15,1,8,0,8,10,8,1,1,-6,9,-4,4.36,0.486,0.358,0.66,
14,745311,2,4,2,6,18,1,9,2,8,16,10,5,0,7,9,-3,2.67,0.479,0.568,0.593,
14,745312,7,1,6,8,19,2,7,0,6,17,8,4,0,-2,9,-4,2.64,0.484,0.564,0.586,
11,745313,3,5,2,8,17,1,9,0,7,10,7,3,0,1,9,-2,3.22,0.479,0.468,0.58,
11,745314,3,2,1,5,11,3,9,1,9,8,11,1,0,-4,9,-4,2.7,0.485,0.563,0.599,
17,745315,11,4,7,15,19,6,9,0,6,12,9,5,0,1,9,-3,4.31,0.476,0.365,0.648,
6,745316,4,3,1,7,12,6,9,3,10,10,8,5,0,-1,9,-3,3.15,0.489,0.457,0.568,
12,745317,7,14,7,21,29,9,11,3,7,24,16,8,2,0,11,-6,2.07,0.476,0.619,0.519,
15,745318,6,10,4,16,23,3,9,1,8,14,8,3,0,4,9,-3,3.19,0.484,0.462,0.574,
-4,745319,5,3,2,8,15,3,9,2,6,11,8,2,2,-5,9,-6,2.05,0.482,0.614,0.512,
3,745320,10,4,6,14,24,4,9,0,5,14,8,2,0,-1,9,-6,2.11,0.482,0.612,0.525,
15,745321,13,6,7,19,25,8,9,1,6,16,14,5,0,6,9,-6,2.77,0.486,0.394,0.444,
20,745322,5,1,4,6,12,3,8,1,10,9,8,4,1,-1,9,-2,2.78,0.475,0.463,0.494,
